Loading Datastore...
 * Serving Flask app 'server' (lazy loading)
 * Environment: production
   WARNING: This is a development server. Do not use it in a production deployment.
   Use a production WSGI server instead.
 * Debug mode: off
 * Running on http://127.0.0.1:6080/ (Press CTRL+C to quit)
127.0.0.1 - - [15/Nov/2021 19:42:29] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:42:29] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:42:29] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1c2VyX2lkIjoxLCJzZXNzaW9uX2lkIjoiZTdmY2MwYWItNTQwMi00NDFjLTg3OGYtMTNmOWM1NTg5Y2ZkIn0.rDBcPNtIEPNUrBk4zNf86xBwjBSYDi9i6vLHtWamoIA&u_id=1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:42:29] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:42:29] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1c2VyX2lkIjoyLCJzZXNzaW9uX2lkIjoiNGVjNWFjMWUtNDZlMi00OTgwLTlhZGUtZmU4OGQzMDFmZWVkIn0.0OpAxChUZDB1tByySQAqtBe1zv29P-2uUVnObCJLKr8&u_id=2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:42:29] "POST /channels/create/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:42:29] "DELETE /admin/user/remove/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:42:29] "POST /auth/logout/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:42:29] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:42:29] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:42:29] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1c2VyX2lkIjoxLCJzZXNzaW9uX2lkIjoiZGE4MjI0YTItMGJjNy00ZjUyLWJlYmUtOTY0ODIzMWFjZGFlIn0.ZYBVEBR5zc_E3Xv_sltszHhHcDihEX-Oap7sholjxzs&u_id=1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:42:29] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:42:29] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1c2VyX2lkIjoyLCJzZXNzaW9uX2lkIjoiY2U3YTI0NmQtNGI3OC00MWQ2LWI3NjUtMjljNTM3MWU5ZTVkIn0.yWVu5-fML7Zow-8KEixR7vzXXByC5ScrHTMiAd3vuTw&u_id=2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:42:29] "POST /channels/create/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 19:42:29] "POST /channel/join/v2 HTTP/1.1" 200 -
